x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-1e+07,NaN,NaN,2.806e-112
-9.9805e+06,NaN,NaN,4.7476e-112
-9.9609e+06,NaN,NaN,9.2507e-112
-9.9414e+06,NaN,NaN,1.909e-111
-9.9219e+06,NaN,NaN,4.0331e-111
-9.9023e+06,NaN,NaN,8.6016e-111
-9.8828e+06,NaN,NaN,1.8413e-110
-9.8633e+06,NaN,NaN,3.9472e-110
-9.8438e+06,NaN,NaN,8.4655e-110
-9.8242e+06,NaN,NaN,1.8157e-109
-9.8047e+06,NaN,NaN,3.8943e-109
-9.7852e+06,NaN,NaN,8.3512e-109
-9.7656e+06,NaN,NaN,1.7906e-108
-9.7461e+06,NaN,NaN,3.8389e-108
-9.7266e+06,NaN,NaN,8.2288e-108
-9.707e+06,NaN,NaN,1.7636e-107
-9.6875e+06,NaN,NaN,3.7791e-107
-9.668e+06,NaN,NaN,8.0968e-107
-9.6484e+06,NaN,NaN,1.7345e-106
-9.6289e+06,NaN,NaN,3.715e-106
-9.6094e+06,NaN,NaN,7.9556e-106
-9.5898e+06,NaN,NaN,1.7034e-105
-9.5703e+06,NaN,NaN,3.6467e-105
-9.5508e+06,NaN,NaN,7.8055e-105
-9.5313e+06,NaN,NaN,1.6705e-104
-9.5117e+06,NaN,NaN,3.5744e-104
-9.4922e+06,NaN,NaN,7.6472e-104
-9.4727e+06,NaN,NaN,1.6358e-103
-9.4531e+06,NaN,NaN,3.4984e-103
-9.4336e+06,NaN,NaN,7.4809e-103
-9.4141e+06,NaN,NaN,1.5994e-102
-9.3945e+06,NaN,NaN,3.419e-102
-9.375e+06,NaN,NaN,7.3075e-102
-9.3555e+06,NaN,NaN,1.5616e-101
-9.3359e+06,NaN,NaN,3.3364e-101
-9.3164e+06,NaN,NaN,7.1273e-101
-9.2969e+06,NaN,NaN,1.5223e-100
-9.2773e+06,NaN,NaN,3.2509e-100
-9.2578e+06,NaN,NaN,6.9411e-100
-9.2383e+06,NaN,NaN,1.4818e-99
-9.2188e+06,NaN,NaN,3.1627e-99
-9.1992e+06,NaN,NaN,6.7494e-99
-9.1797e+06,NaN,NaN,1.4401e-98
-9.1602e+06,NaN,NaN,3.0722e-98
-9.1406e+06,NaN,NaN,6.5529e-98
-9.1211e+06,NaN,NaN,1.3975e-97
-9.1016e+06,NaN,NaN,2.9797e-97
-9.082e+06,NaN,NaN,6.3522e-97
-9.0625e+06,NaN,NaN,1.3539e-96
-9.043e+06,NaN,NaN,2.8854e-96
-9.0234e+06,NaN,NaN,6.1479e-96
-9.0039e+06,NaN,NaN,1.3097e-95
-8.9844e+06,NaN,NaN,2.7896e-95
-8.9648e+06,NaN,NaN,5.9408e-95
-8.9453e+06,NaN,NaN,1.2649e-94
-8.9258e+06,NaN,NaN,2.6928e-94
-8.9063e+06,NaN,NaN,5.7314e-94
-8.8867e+06,NaN,NaN,1.2197e-93
-8.8672e+06,NaN,NaN,2.5951e-93
-8.8477e+06,NaN,NaN,5.5204e-93
-8.8281e+06,NaN,NaN,1.1741e-92
-8.8086e+06,NaN,NaN,2.4968e-92
-8.7891e+06,NaN,NaN,5.3085e-92
-8.7695e+06,NaN,NaN,1.1284e-91
-8.75e+06,NaN,NaN,2.3983e-91
-8.7305e+06,NaN,NaN,5.0963e-91
-8.7109e+06,NaN,NaN,1.0827e-90
-8.6914e+06,NaN,NaN,2.2999e-90
-8.6719e+06,NaN,NaN,4.8844e-90
-8.6523e+06,NaN,NaN,1.0371e-89
-8.6328e+06,NaN,NaN,2.2018e-89
-8.6133e+06,NaN,NaN,4.6734e-89
-8.5938e+06,NaN,NaN,9.9176e-89
-8.5742e+06,NaN,NaN,2.1043e-88
-8.5547e+06,NaN,NaN,4.4639e-88
-8.5352e+06,NaN,NaN,9.4676e-88
-8.5156e+06,NaN,NaN,2.0076e-87
-8.4961e+06,NaN,NaN,4.2564e-87
-8.4766e+06,NaN,NaN,9.0223e-87
-8.457e+06,NaN,NaN,1.9121e-86
-8.4375e+06,NaN,NaN,4.0515e-86
-8.418e+06,NaN,NaN,8.5829e-86
-8.3984e+06,NaN,NaN,1.8179e-85
-8.3789e+06,NaN,NaN,3.8497e-85
-8.3594e+06,NaN,NaN,8.1506e-85
-8.3398e+06,NaN,NaN,1.7253e-84
-8.3203e+06,NaN,NaN,3.6514e-84
-8.3008e+06,NaN,NaN,7.7261e-84
-8.2813e+06,NaN,NaN,1.6345e-83
-8.2617e+06,NaN,NaN,3.4571e-83
-8.2422e+06,NaN,NaN,7.3106e-83
-8.2227e+06,NaN,NaN,1.5456e-82
-8.2031e+06,NaN,NaN,3.2672e-82
-8.1836e+06,NaN,NaN,6.9048e-82
-8.1641e+06,NaN,NaN,1.4589e-81
-8.1445e+06,NaN,NaN,3.082e-81
-8.125e+06,NaN,NaN,6.5094e-81
-8.1055e+06,NaN,NaN,1.3746e-80
-8.0859e+06,NaN,NaN,2.9019e-80
-8.0664e+06,NaN,NaN,6.1253e-80
-8.0469e+06,NaN,NaN,1.2926e-79
-8.0273e+06,NaN,NaN,2.7273e-79
-8.0078e+06,NaN,NaN,5.7529e-79
-7.9883e+06,NaN,NaN,1.2133e-78
-7.9688e+06,NaN,NaN,2.5582e-78
-7.9492e+06,NaN,NaN,5.3929e-78
-7.9297e+06,NaN,NaN,1.1366e-77
-7.9102e+06,NaN,NaN,2.395e-77
-7.8906e+06,NaN,NaN,5.0457e-77
-7.8711e+06,NaN,NaN,1.0627e-76
-7.8516e+06,NaN,NaN,2.2379e-76
-7.832e+06,NaN,NaN,4.7116e-76
-7.8125e+06,NaN,NaN,9.9172e-76
-7.793e+06,NaN,NaN,2.087e-75
-7.7734e+06,NaN,NaN,4.3909e-75
-7.7539e+06,NaN,NaN,9.2361e-75
-7.7344e+06,NaN,NaN,1.9424e-74
-7.7148e+06,NaN,NaN,4.0839e-74
-7.6953e+06,NaN,NaN,8.5845e-74
-7.6758e+06,NaN,NaN,1.8041e-73
-7.6563e+06,NaN,NaN,3.7906e-73
-7.6367e+06,NaN,NaN,7.9627e-73
-7.6172e+06,NaN,NaN,1.6723e-72
-7.5977e+06,NaN,NaN,3.5113e-72
-7.5781e+06,NaN,NaN,7.3708e-72
-7.5586e+06,NaN,NaN,1.5469e-71
-7.5391e+06,NaN,NaN,3.2457e-71
-7.5195e+06,NaN,NaN,6.8087e-71
-7.5e+06,NaN,NaN,1.4279e-70
-7.4805e+06,NaN,NaN,2.994e-70
-7.4609e+06,NaN,NaN,6.2762e-70
-7.4414e+06,NaN,NaN,1.3153e-69
-7.4219e+06,NaN,NaN,2.756e-69
-7.4023e+06,NaN,NaN,5.7731e-69
-7.3828e+06,NaN,NaN,1.209e-68
-7.3633e+06,NaN,NaN,2.5314e-68
-7.3438e+06,NaN,NaN,5.2988e-68
-7.3242e+06,NaN,NaN,1.1089e-67
-7.3047e+06,NaN,NaN,2.32e-67
-7.2852e+06,NaN,NaN,4.8529e-67
-7.2656e+06,NaN,NaN,1.0148e-66
-7.2461e+06,NaN,NaN,2.1217e-66
-7.2266e+06,NaN,NaN,4.4346e-66
-7.207e+06,NaN,NaN,9.2668e-66
-7.1875e+06,NaN,NaN,1.9359e-65
-7.168e+06,NaN,NaN,4.0434e-65
-7.1484e+06,NaN,NaN,8.4428e-65
-7.1289e+06,NaN,NaN,1.7625e-64
-7.1094e+06,NaN,NaN,3.6783e-64
-7.0898e+06,NaN,NaN,7.6746e-64
-7.0703e+06,NaN,NaN,1.6009e-63
-7.0508e+06,NaN,NaN,3.3385e-63
-7.0313e+06,NaN,NaN,6.9602e-63
-7.0117e+06,NaN,NaN,1.4507e-62
-6.9922e+06,NaN,NaN,3.023e-62
-6.9727e+06,NaN,NaN,6.2976e-62
-6.9531e+06,NaN,NaN,1.3116e-61
-6.9336e+06,NaN,NaN,2.7309e-61
-6.9141e+06,NaN,NaN,5.6845e-61
-6.8945e+06,NaN,NaN,1.183e-60
-6.875e+06,NaN,NaN,2.4611e-60
-6.8555e+06,NaN,NaN,5.1188e-60
-6.8359e+06,NaN,NaN,1.0644e-59
-6.8164e+06,NaN,NaN,2.2126e-59
-6.7969e+06,NaN,NaN,4.5981e-59
-6.7773e+06,NaN,NaN,9.5532e-59
-6.7578e+06,NaN,NaN,1.9843e-58
-6.7383e+06,NaN,NaN,4.1203e-58
-6.7188e+06,NaN,NaN,8.5533e-58
-6.6992e+06,NaN,NaN,1.7751e-57
-6.6797e+06,NaN,NaN,3.6828e-57
-6.6602e+06,NaN,NaN,7.6387e-57
-6.6406e+06,NaN,NaN,1.5839e-56
-6.6211e+06,NaN,NaN,3.2835e-56
-6.6016e+06,NaN,NaN,6.8046e-56
-6.582e+06,NaN,NaN,1.4098e-55
-6.5625e+06,NaN,NaN,2.9199e-55
-6.543e+06,NaN,NaN,6.0458e-55
-6.5234e+06,NaN,NaN,1.2515e-54
-6.5039e+06,NaN,NaN,2.5898e-54
-6.4844e+06,NaN,NaN,5.3576e-54
-6.4648e+06,NaN,NaN,1.108e-53
-6.4453e+06,NaN,NaN,2.2909e-53
-6.4258e+06,NaN,NaN,4.7351e-53
-6.4063e+06,NaN,NaN,9.784e-53
-6.3867e+06,NaN,NaN,2.021e-52
-6.3672e+06,NaN,NaN,4.1735e-52
-6.3477e+06,NaN,NaN,8.6159e-52
-6.3281e+06,NaN,NaN,1.7781e-51
-6.3086e+06,NaN,NaN,3.6685e-51
-6.2891e+06,NaN,NaN,7.5663e-51
-6.2695e+06,NaN,NaN,1.5601e-50
-6.25e+06,NaN,NaN,3.2156e-50
-6.2305e+06,NaN,NaN,6.626e-50
-6.2109e+06,NaN,NaN,1.3649e-49
-6.1914e+06,NaN,NaN,2.8107e-49
-6.1719e+06,NaN,NaN,5.7861e-49
-6.1523e+06,NaN,NaN,1.1907e-48
-6.1328e+06,NaN,NaN,2.4497e-48
-6.1133e+06,NaN,NaN,5.038e-48
-6.0938e+06,NaN,NaN,1.0358e-47
-6.0742e+06,NaN,NaN,2.1288e-47
-6.0547e+06,NaN,NaN,4.3738e-47
-6.0352e+06,NaN,NaN,8.9832e-47
-6.0156e+06,NaN,NaN,1.8444e-46
-5.9961e+06,NaN,NaN,3.7858e-46
-5.9766e+06,NaN,NaN,7.7678e-46
-5.957e+06,NaN,NaN,1.5933e-45
-5.9375e+06,NaN,NaN,3.2669e-45
-5.918e+06,NaN,NaN,6.6962e-45
-5.8984e+06,NaN,NaN,1.3721e-44
-5.8789e+06,NaN,NaN,2.8104e-44
-5.8594e+06,NaN,NaN,5.7546e-44
-5.8398e+06,NaN,NaN,1.1779e-43
-5.8203e+06,NaN,NaN,2.4102e-43
-5.8008e+06,NaN,NaN,4.9298e-43
-5.7813e+06,NaN,NaN,1.008e-42
-5.7617e+06,NaN,NaN,2.0603e-42
-5.7422e+06,NaN,NaN,4.2097e-42
-5.7227e+06,NaN,NaN,8.5983e-42
-5.7031e+06,NaN,NaN,1.7555e-41
-5.6836e+06,NaN,NaN,3.583e-41
-5.6641e+06,NaN,NaN,7.3102e-41
-5.6445e+06,NaN,NaN,1.4909e-40
-5.625e+06,NaN,NaN,3.0395e-40
-5.6055e+06,NaN,NaN,6.1943e-40
-5.5859e+06,NaN,NaN,1.2619e-39
-5.5664e+06,NaN,NaN,2.5697e-39
-5.5469e+06,NaN,NaN,5.2308e-39
-5.5273e+06,NaN,NaN,1.0644e-38
-5.5078e+06,NaN,NaN,2.165e-38
-5.4883e+06,NaN,NaN,4.4019e-38
-5.4688e+06,NaN,NaN,8.9466e-38
-5.4492e+06,NaN,NaN,1.8176e-37
-5.4297e+06,NaN,NaN,3.6912e-37
-5.4102e+06,NaN,NaN,7.4932e-37
-5.3906e+06,NaN,NaN,1.5205e-36
-5.3711e+06,NaN,NaN,3.0841e-36
-5.3516e+06,NaN,NaN,6.2531e-36
-5.332e+06,NaN,NaN,1.2673e-35
-5.3125e+06,NaN,NaN,2.5674e-35
-5.293e+06,NaN,NaN,5.1989e-35
-5.2734e+06,NaN,NaN,1.0523e-34
-5.2539e+06,NaN,NaN,2.1292e-34
-5.2344e+06,NaN,NaN,4.306e-34
-5.2148e+06,NaN,NaN,8.7049e-34
-5.1953e+06,NaN,NaN,1.759e-33
-5.1758e+06,NaN,NaN,3.5527e-33
-5.1563e+06,NaN,NaN,7.1726e-33
-5.1367e+06,NaN,NaN,1.4474e-32
-5.1172e+06,NaN,NaN,2.9197e-32
-5.0977e+06,NaN,NaN,5.8866e-32
-5.0781e+06,NaN,NaN,1.1863e-31
-5.0586e+06,NaN,NaN,2.3897e-31
-5.0391e+06,NaN,NaN,4.8115e-31
-5.0195e+06,NaN,NaN,9.6832e-31
-5e+06,NaN,NaN,1.9479e-30
-4.9805e+06,NaN,NaN,3.9164e-30
-4.9609e+06,NaN,NaN,7.8707e-30
-4.9414e+06,NaN,NaN,1.581e-29
-4.9219e+06,NaN,NaN,3.1742e-29
-4.9023e+06,NaN,NaN,6.3699e-29
-4.8828e+06,NaN,NaN,1.2777e-28
-4.8633e+06,NaN,NaN,2.5615e-28
-4.8438e+06,NaN,NaN,5.1326e-28
-4.8242e+06,NaN,NaN,1.028e-27
-4.8047e+06,NaN,NaN,2.0577e-27
-4.7852e+06,NaN,NaN,4.117e-27
-4.7656e+06,NaN,NaN,8.2328e-27
-4.7461e+06,NaN,NaN,1.6455e-26
-4.7266e+06,NaN,NaN,3.287e-26
-4.707e+06,NaN,NaN,6.5627e-26
-4.6875e+06,NaN,NaN,1.3096e-25
-4.668e+06,NaN,NaN,2.6119e-25
-4.6484e+06,NaN,NaN,5.2063e-25
-4.6289e+06,NaN,NaN,1.0372e-24
-4.6094e+06,NaN,NaN,2.0652e-24
-4.5898e+06,NaN,NaN,4.1098e-24
-4.5703e+06,NaN,NaN,8.1738e-24
-4.5508e+06,NaN,NaN,1.6247e-23
-4.5313e+06,NaN,NaN,3.2276e-23
-4.5117e+06,NaN,NaN,6.4082e-23
-4.4922e+06,NaN,NaN,1.2715e-22
-4.4727e+06,NaN,NaN,2.5215e-22
-4.4531e+06,NaN,NaN,4.9973e-22
-4.4336e+06,NaN,NaN,9.8979e-22
-4.4141e+06,NaN,NaN,1.9592e-21
-4.3945e+06,NaN,NaN,3.8757e-21
-4.375e+06,NaN,NaN,7.6619e-21
-4.3555e+06,NaN,NaN,1.5137e-20
-4.3359e+06,NaN,NaN,2.9887e-20
-4.3164e+06,NaN,NaN,5.8968e-20
-4.2969e+06,NaN,NaN,1.1627e-19
-4.2773e+06,NaN,NaN,2.2911e-19
-4.2578e+06,NaN,NaN,4.5113e-19
-4.2383e+06,NaN,NaN,8.877e-19
-4.2188e+06,NaN,NaN,1.7455e-18
-4.1992e+06,NaN,NaN,3.4299e-18
-4.1797e+06,NaN,NaN,6.7346e-18
-4.1602e+06,NaN,NaN,1.3214e-17
-4.1406e+06,NaN,NaN,2.5908e-17
-4.1211e+06,NaN,NaN,5.0757e-17
-4.1016e+06,NaN,NaN,9.9364e-17
-4.082e+06,NaN,NaN,1.9437e-16
-4.0625e+06,NaN,NaN,3.799e-16
-4.043e+06,NaN,NaN,7.4195e-16
-4.0234e+06,NaN,NaN,1.4478e-15
-4.0039e+06,NaN,NaN,2.8229e-15
-3.9844e+06,NaN,NaN,5.4993e-15
-3.9648e+06,NaN,NaN,1.0704e-14
-3.9453e+06,NaN,NaN,2.0816e-14
-3.9258e+06,NaN,NaN,4.0444e-14
-3.9063e+06,NaN,NaN,7.8509e-14
-3.8867e+06,NaN,NaN,1.5226e-13
-3.8672e+06,NaN,NaN,2.9499e-13
-3.8477e+06,NaN,NaN,5.7098e-13
-3.8281e+06,NaN,NaN,1.1041e-12
-3.8086e+06,NaN,NaN,2.1326e-12
-3.7891e+06,NaN,NaN,4.1151e-12
-3.7695e+06,NaN,NaN,7.932e-12
-3.75e+06,NaN,NaN,1.5272e-11
-3.7305e+06,NaN,NaN,2.937e-11
-3.7109e+06,NaN,NaN,5.6418e-11
-3.6914e+06,NaN,NaN,1.0824e-10
-3.6719e+06,NaN,NaN,2.0741e-10
-3.6523e+06,NaN,NaN,3.9692e-10
-3.6328e+06,NaN,NaN,7.5858e-10
-3.6133e+06,NaN,NaN,1.4478e-09
-3.5938e+06,NaN,NaN,2.7591e-09
-3.5742e+06,NaN,NaN,5.2503e-09
-3.5547e+06,NaN,NaN,9.9755e-09
-3.5352e+06,NaN,NaN,1.8922e-08
-3.5156e+06,NaN,NaN,3.5833e-08
-3.4961e+06,NaN,NaN,6.7737e-08
-3.4766e+06,NaN,NaN,1.2781e-07
-3.457e+06,NaN,NaN,2.4067e-07
-3.4375e+06,NaN,NaN,4.5228e-07
-3.418e+06,NaN,NaN,8.4808e-07
-3.3984e+06,NaN,NaN,1.5865e-06
-3.3789e+06,NaN,NaN,2.9606e-06
-3.3594e+06,NaN,NaN,5.5101e-06
-3.3398e+06,NaN,NaN,1.0226e-05
-3.3203e+06,NaN,NaN,1.8918e-05
-3.3008e+06,NaN,NaN,3.4882e-05
-3.2813e+06,NaN,NaN,6.408e-05
-3.2617e+06,NaN,NaN,0.00011724
-3.2422e+06,NaN,NaN,0.00021353
-3.2227e+06,NaN,NaN,0.00038692
-3.2031e+06,NaN,NaN,0.00069702
-3.1836e+06,NaN,NaN,0.0012471
-3.1641e+06,NaN,NaN,0.0022135
-3.1445e+06,NaN,NaN,0.0038902
-3.125e+06,NaN,NaN,0.0067533
-3.1055e+06,NaN,NaN,0.011538
-3.0859e+06,NaN,NaN,0.019303
-3.0664e+06,NaN,NaN,0.031394
-3.0469e+06,NaN,NaN,0.049164
-3.0273e+06,NaN,NaN,0.073294
-3.0078e+06,NaN,NaN,0.10286
-2.9883e+06,NaN,NaN,0.13485
-2.9688e+06,NaN,NaN,0.16511
-2.9492e+06,NaN,NaN,0.19021
-2.9297e+06,NaN,NaN,0.2088
-2.9102e+06,NaN,NaN,0.22143
-2.8906e+06,NaN,NaN,0.22951
-2.8711e+06,NaN,NaN,0.2345
-2.8516e+06,NaN,NaN,0.23751
-2.832e+06,NaN,NaN,0.23931
-2.8125e+06,NaN,NaN,0.24036
-2.793e+06,NaN,NaN,0.24099
-2.7734e+06,NaN,NaN,0.24135
-2.7539e+06,NaN,NaN,0.24156
-2.7344e+06,NaN,NaN,0.24168
-2.7148e+06,NaN,NaN,0.24175
-2.6953e+06,NaN,NaN,0.24178
-2.6758e+06,NaN,NaN,0.24181
-2.6563e+06,NaN,NaN,0.24182
-2.6367e+06,NaN,NaN,0.24182
-2.6172e+06,NaN,NaN,0.24183
-2.5977e+06,NaN,NaN,0.24183
-2.5781e+06,NaN,NaN,0.24183
-2.5586e+06,NaN,NaN,0.24183
-2.5391e+06,NaN,NaN,0.24183
-2.5195e+06,NaN,NaN,0.24183
-2.5e+06,NaN,NaN,0.24183
-2.4805e+06,NaN,NaN,0.24183
-2.4609e+06,NaN,NaN,0.24183
-2.4414e+06,NaN,NaN,0.24183
-2.4219e+06,NaN,NaN,0.24183
-2.4023e+06,NaN,NaN,0.24183
-2.3828e+06,NaN,NaN,0.24183
-2.3633e+06,NaN,NaN,0.24183
-2.3438e+06,NaN,NaN,0.24183
-2.3242e+06,NaN,NaN,0.24183
-2.3047e+06,NaN,NaN,0.24183
-2.2852e+06,NaN,NaN,0.24183
-2.2656e+06,NaN,NaN,0.24183
-2.2461e+06,NaN,NaN,0.24183
-2.2266e+06,NaN,NaN,0.24183
-2.207e+06,NaN,NaN,0.24183
-2.1875e+06,NaN,NaN,0.24183
-2.168e+06,NaN,NaN,0.24183
-2.1484e+06,NaN,NaN,0.24183
-2.1289e+06,NaN,NaN,0.24183
-2.1094e+06,NaN,NaN,0.24183
-2.0898e+06,NaN,NaN,0.24183
-2.0703e+06,NaN,NaN,0.24183
-2.0508e+06,NaN,NaN,0.24183
-2.0313e+06,NaN,NaN,0.24183
-2.0117e+06,NaN,NaN,0.24183
-1.9922e+06,NaN,NaN,0.24183
-1.9727e+06,NaN,NaN,0.24183
-1.9531e+06,NaN,NaN,0.24183
-1.9336e+06,NaN,NaN,0.24183
-1.9141e+06,NaN,NaN,0.24183
-1.8945e+06,NaN,NaN,0.24183
-1.875e+06,NaN,NaN,0.24183
-1.8555e+06,NaN,NaN,0.24183
-1.8359e+06,NaN,NaN,0.24183
-1.8164e+06,NaN,NaN,0.24183
-1.7969e+06,NaN,NaN,0.24183
-1.7773e+06,NaN,NaN,0.24183
-1.7578e+06,NaN,NaN,0.24183
-1.7383e+06,NaN,NaN,0.24183
-1.7188e+06,NaN,NaN,0.24183
-1.6992e+06,NaN,NaN,0.24183
-1.6797e+06,NaN,NaN,0.24183
-1.6602e+06,NaN,NaN,0.24183
-1.6406e+06,NaN,NaN,0.24183
-1.6211e+06,NaN,NaN,0.24183
-1.6016e+06,NaN,NaN,0.24183
-1.582e+06,NaN,NaN,0.24183
-1.5625e+06,NaN,NaN,0.24183
-1.543e+06,NaN,NaN,0.24183
-1.5234e+06,NaN,NaN,0.24183
-1.5039e+06,NaN,NaN,0.24183
-1.4844e+06,NaN,NaN,0.24183
-1.4648e+06,NaN,NaN,0.24183
-1.4453e+06,NaN,NaN,0.24183
-1.4258e+06,NaN,NaN,0.24183
-1.4063e+06,NaN,NaN,0.24183
-1.3867e+06,NaN,NaN,0.24183
-1.3672e+06,NaN,NaN,0.24183
-1.3477e+06,NaN,NaN,0.24183
-1.3281e+06,NaN,NaN,0.24183
-1.3086e+06,NaN,NaN,0.24183
-1.2891e+06,NaN,NaN,0.24183
-1.2695e+06,NaN,NaN,0.24183
-1.25e+06,NaN,NaN,0.24183
-1.2305e+06,NaN,NaN,0.24183
-1.2109e+06,NaN,NaN,0.24183
-1.1914e+06,NaN,NaN,0.24183
-1.1719e+06,NaN,NaN,0.24183
-1.1523e+06,NaN,NaN,0.24183
-1.1328e+06,NaN,NaN,0.24183
-1.1133e+06,NaN,NaN,0.24183
-1.0938e+06,NaN,NaN,0.24183
-1.0742e+06,NaN,NaN,0.24183
-1.0547e+06,NaN,NaN,0.24183
-1.0352e+06,NaN,NaN,0.24183
-1.0156e+06,NaN,NaN,0.24183
-9.9609e+05,NaN,NaN,0.24183
-9.7656e+05,NaN,NaN,0.24183
-9.5703e+05,NaN,NaN,0.24183
-9.375e+05,NaN,NaN,0.24183
-9.1797e+05,NaN,NaN,0.24183
-8.9844e+05,NaN,NaN,0.24183
-8.7891e+05,NaN,NaN,0.24183
-8.5938e+05,NaN,NaN,0.24183
-8.3984e+05,NaN,NaN,0.24183
-8.2031e+05,NaN,NaN,0.24183
-8.0078e+05,NaN,NaN,0.24183
-7.8125e+05,NaN,NaN,0.24183
-7.6172e+05,NaN,NaN,0.24183
-7.4219e+05,NaN,NaN,0.24183
-7.2266e+05,NaN,NaN,0.24183
-7.0313e+05,NaN,NaN,0.24183
-6.8359e+05,NaN,NaN,0.24183
-6.6406e+05,NaN,NaN,0.24183
-6.4453e+05,NaN,NaN,0.24183
-6.25e+05,NaN,NaN,0.24183
-6.0547e+05,NaN,NaN,0.24183
-5.8594e+05,NaN,NaN,0.24183
-5.6641e+05,NaN,NaN,0.24183
-5.4688e+05,NaN,NaN,0.24183
-5.2734e+05,NaN,NaN,0.24183
-5.0781e+05,NaN,NaN,0.24183
-4.8828e+05,NaN,NaN,0.24183
-4.6875e+05,NaN,NaN,0.24183
-4.4922e+05,NaN,NaN,0.24183
-4.2969e+05,NaN,NaN,0.24183
-4.1016e+05,NaN,NaN,0.24183
-3.9063e+05,NaN,NaN,0.24183
-3.7109e+05,NaN,NaN,0.24183
-3.5156e+05,NaN,NaN,0.24183
-3.3203e+05,NaN,NaN,0.24183
-3.125e+05,NaN,NaN,0.24183
-2.9297e+05,NaN,NaN,0.24183
-2.7344e+05,NaN,NaN,0.24183
-2.5391e+05,NaN,NaN,0.24183
-2.3438e+05,NaN,NaN,0.24183
-2.1484e+05,NaN,NaN,0.24183
-1.9531e+05,NaN,NaN,0.24183
-1.7578e+05,NaN,NaN,0.24183
-1.5625e+05,NaN,NaN,0.24183
-1.3672e+05,NaN,NaN,0.24183
-1.1719e+05,NaN,NaN,0.24183
-97656,NaN,NaN,0.24183
-78125,NaN,NaN,0.24183
-58594,NaN,NaN,0.24183
-39063,NaN,NaN,0.24183
-19531,NaN,NaN,0.24183
0,0.0050003,NaN,0.24183
19531,0.030002,781.21,0.24183
39063,0.050003,976.51,0.24183
58594,0.095005,434.01,0.24183
78125,0.19501,195.3,0.24183
97656,0.38502,102.79,0.24183
